Nom et prénoms;Titre;Spécialité ;Institution ;Pays
DELISLE Hélčne;PT;Nutrition internationale;Université de Montréal;Canada
MONGBO Roch;PT;Socio-anthropologue;FSA/UAC;Bénin
AMOUZOU Sabiba Kou’Santa Émile;PT;;;Togo
AGUEH Victoire;PT;Nutrition, Santé publique;IRSP/UAC;Bénin
;;;;
AZOKPOTA Paulin;PT;Biochimie alimentaire;FSA/UAC;Bénin
MBOUBARAK Jean-Claude;PT;Nutrition Internationale;Université de Montréal;Canada
SOMBIE Issiaka;PT;;OOAS;Burkina-Faso
DIOUF Adama;PT;Physiologie, Nutrition;FAST/UCAD;Sénégal
Dossou Nicole;;;;Sénégal
LOKO Frédéric;PT;Pharmacie, biochimie Clinique;FSS/UAC;Bénin
DJROLO Francois  ;PT;Endocrinologie, Nutrition;FSS/UAC;Bénin
AMOUSSOU- GUENOU Daniel;PT;Endocrinologie, Nutrition;FSS/UAC;Bénin
KEREKOU Annelie;MCA;Endocrinologie, Nutrition;FSS/UAC;Bénin
AMOUSSA HOUNKPATIN Waliou;PT;Agronomie, Nutrition;FSA/UAC;Bénin
MITCHIKPE Evariste;MC;Agronomie Nutrition;FSA/UAC;Bénin
NIGAN Bio Issiako;PT;Sciences et techniques des activités physiques et sportives, Nutrition;INJEPS;Bénin
SOUMANOU Mohamed;PT;Biochimie, technologie alimentaire;EPAC/UAC;Bénin
KAYODE Polycarpe;PT;Agronomie, Sciences et Technologies des aliments;FSA/UAC;Bénin
FANOU FOGNY Nadia ;PT;Agronomie Nutrition;FSA/UAC;Bénin
CHADARE Flora;PT;Agronomie Nutrition et Science des aliments, agriculture de résilience;UNA/UAC;Bénin
CAPOCHICHI Calinice;PT;Biologie moléculaire, Nutrition;FAST/UAC;Bénin
SOSSA Jérôme Charles;MCA;Santé Publique, Nutrition internationale;IRSP/UAC;Bénin
AZANDJEME Colette;MCA;Santé Publique, Nutrition internationale;IRSP/UAC;Bénin
ALIHONOU Florence;MCA;Pédiatrie, Nutrition;FSS/UAC;Bénin
AKE Odile;PT;Santé publique, Nutrition; INSP/ ;Côte d'Ivoire
TONON Brigitte;PT;Sciences et techniques des physiques et sportives, Nutrition;INEPS;Bénin
COMPAORE Ella;PT;Nutrition, Science des aliments;Université de Joseph Ki-Zerbo;Burkina-Faso
YEMOA Achille;PT;Pharmacie, Chimie analytique;FSS/UAC;Bénin
ASSA Rebecca;PT;Sciences des aliments  ;Université Félix HOUPHOUËT-BOIGNY (UFHB) ;Côte d’Ivoire
ZEBA Augustin;MC;Nutrition et Maladies Métaboliques ;Institut de Recherche en Sciences de la Santé;Burkina-Faso
DABADE Sylvain;MC;Microbiologie et Qualité sanitaire des aliments;FSA/UAC;Bénin
MADODE Yann;MC;Agronomie, Sciences et Technologies des aliments;FSA/UAC;Bénin
MELILA Mamatchi;MC;Biochimie et nutrition, Toxicocinétique et métabolisme des xenobiotiques;Université de Lomé;Togo
SOSSA Carole;MC;Nutrition, biochimie alimentaire, qualité des aliments;UP/BENIN;Bénin
NAGO Eunice ;MC;Agronomie, Nutrition, Sciences alimentaires;PAM;Bénin
HONGBETE Franck;MC;Nutrition, Sciences agro-alimentaires;UP;Bénin
MIZEHOUN Carmelle;MA;Pharmacie, Nutrition;FSS/UAC;Bénin
METONNOU Clemence;;Nutrition, Santé publique;;Bénin
PADONOU Wilfried;MR;Agronomie, nutrition ;INRAB;Bénin
AGBODJOGBE Wilfried;MA;Sciences et techniques des activités physiques et sportives, Nutrition;INJEPS;Bénin
HOUHOUIGAN Harold;MC;Chimie alimentaire;UNA;Bénin
DIBALA Crépin I. ;MC;Biochimie, Biotechnologie, Technologie Alimentaire;LABIOTAN;Bénin
DOSSA Luc Hippolyte;PT;Elevage et systčmes de production;FSA/UAC;Bénin
MENSAH Guy Appolinaire;DR;Zootechnie et faune;;Bénin
BALOGOU Vénérande;MC;Biochimie, Sciences des aliments;EPAC/UAC;Bénin
ZANNOU Afio;PT;Socio-anthropologie et communication;FSA/UAC;Bénin
KOUEVI Augustin Teko;MC;Socio-anthropologie et communication;FSA/UAC;Bénin
MOUMOUNI Moussa Ismail;PT;Agrosociologie;UP;Bénin
ANAGONOU Nadine;MA;Microbiologie épizootiologie (épidemiologie;FSA/UAC;Bénin
